team,games,wins,losses,super_elo,mov_elo,off_efg_elo,off_tov_elo,off_orb_elo,off_ftr_elo,def_efg_elo,def_tov_elo,def_orb_elo,def_ftr_elo,rank
UNC Wilmington,33,25,8,1557.8527807328207,1557.8527807328198,1505.1753656771825,1521.637914738167,1641.351475540702,1583.1659183615325,1486.3426149360914,1491.0210302562684,1510.7707826641508,1520.0647190504394,114
South Dakota St.,29,17,12,1556.7396176063837,1556.7396176063828,1545.7767377470211,1451.6773107194583,1612.5714317381899,1410.2348786991488,1530.1686279154717,1282.2192811623015,1732.3140109214037,1579.9518866460471,115
Middle Tennessee,32,20,12,1555.148207946577,1555.1482079465761,1546.477798692803,1513.2725135143658,1539.3839661753054,1476.0760566869496,1572.5060607241194,1445.0907917195746,1512.7931734823803,1539.762307182971,116
Loyola Chicago,36,24,12,1553.7296663920827,1553.7296663920818,1572.3696518177367,1482.3456933039968,1478.669547196046,1491.2644084856192,1563.3237122266748,1496.5200111992376,1529.862618860639,1497.1848010751548,117
Jacksonville St.,33,20,13,1551.9278724772594,1551.9278724772585,1500.100777259048,1549.9901278085556,1552.3723363109054,1480.3783142242883,1561.866494780092,1328.1676096340163,1582.2154650387345,1624.9793316181058,118
St. Bonaventure,33,21,12,1551.579226651699,1551.579226651698,1485.019398269932,1574.695164546889,1429.7706125256423,1437.801353909847,1534.9560168131716,1556.9078926519182,1589.5652797785579,1671.5361415139519,119
Saint Louis,32,17,15,1549.9091076264315,1549.9091076264306,1689.5174439001,1427.3167700858921,1350.8758207050782,1485.3450739897971,1564.9903354515232,1371.518227071144,1551.127247207943,1671.31338708355,120
Samford,31,20,11,1549.48114584506,1549.481145845059,1608.9246925080777,1402.0594813359828,1630.6914101383752,1419.2598764159582,1412.4100711689755,1694.4581758580543,1401.2844393755017,1330.4879595115817,121
St. Thomas,31,21,10,1548.0926670714734,1548.0926670714725,1651.6939801829556,1611.3726459637148,1317.8311624101045,1481.6903824521164,1440.3427800314664,1559.0624675109314,1462.835081076899,1461.2143544873886,122
Northern Colorado,32,22,10,1546.575935466312,1546.5759354663112,1659.5156982656638,1524.8398860073019,1431.1219534446218,1479.2779448265132,1461.4728126332461,1397.438718023499,1686.251092703669,1430.7671188072245,123
North Alabama,33,22,11,1545.418338067355,1545.4183380673542,1462.1121117059176,1691.774108453867,1570.9889694672336,1470.1439886789478,1499.7930398766175,1470.159569725451,1488.6035488169703,1548.2554924457988,124
Kent St.,34,22,12,1544.8067818757054,1544.8067818757045,1398.6037666846396,1513.4476752947435,1665.6104269081195,1440.8699186024376,1560.5357286409908,1582.5155367753644,1543.5033575984312,1406.2891048708716,125
North Dakota St.,29,18,11,1544.5808680380517,1544.5808680380508,1670.7921592543164,1536.4290005039802,1414.727854184038,1435.1271536966087,1487.2973478223867,1216.6690961789714,1528.8150602425,1623.9023330267266,126
South Alabama,30,19,11,1541.6313111766115,1541.6313111766106,1483.9735854188762,1606.453876073342,1443.1010022004282,1463.1604571560852,1507.0617314247459,1651.5608153620346,1479.2819660255989,1625.688217708842,127
Louisiana Tech,29,17,12,1539.259480281713,1539.259480281712,1577.4655329910768,1419.3779155064967,1490.6062788988186,1496.6381874279168,1581.8861760591763,1366.3856620131355,1527.3671282859405,1532.3401306691228,128
Cornell,27,16,11,1538.4403138157606,1538.4403138157597,1710.5034617664496,1476.2646978496302,1379.0938102454454,1472.2016964823438,1456.513548887636,1409.9237762301625,1487.8836170913285,1507.303796451252,129
Illinois St.,35,21,14,1536.908672333149,1536.9086723331482,1651.909204878557,1561.5677930310246,1373.4854824501651,1474.001999442266,1467.7954800529415,1425.2849433952426,1616.6686775027536,1516.7581660601586,130
Belmont,32,21,11,1536.4814132259,1536.4814132258991,1615.8704963492282,1523.1010088666055,1463.5006939682464,1372.7609393694668,1455.6085180853565,1499.646588610495,1449.9648372225176,1620.49955295373,131
Wichita St.,33,18,15,1534.2653296335848,1534.2653296335839,1448.931618845457,1558.480263922951,1538.5923832944568,1530.4068744860342,1517.7685257778899,1438.8304084606245,1529.657226773391,1615.2384915910377,132
Wofford,33,17,16,1531.2640809561474,1531.2640809561465,1586.6298499885775,1497.8874385962063,1642.0125305427205,1477.0036094044553,1472.5035792487133,1373.2118639335354,1598.372713441054,1418.412924228504,133
