Rk,Team,Conf,Adj. Eff._Off.,Adj. Eff._Def.,Eff. FG%_Off.,Eff. FG%_Def.,Turnover%_Off.,Turnover%_Def.,Off. Reb%_Off.,Off. Reb%_Def.,FT Rate_Off.,FT Rate_Def.,FT%_Off.,FT%_Def.,2P%_Off.,2P%_Def.,3P%_Off.,3P%_Def.
139,DePaul,BE,109.9,104.6,52.2,49.7,17.1,19.6,31.3,29.3,42.8,35.9,68.8,71.2,53.1,49.5,33.9,33.3
140,Montana St.,BSky,105.9,107.2,52.2,52.9,15.7,16.1,25.0,26.8,27.3,38.3,72.8,73.5,54.8,55.6,32.6,31.9
141,Northern Kentucky,Horz,104.5,109.9,52.2,56.3,18.9,22.7,35.7,33.3,31.1,46.2,78.3,71.3,53.4,53.8,33.9,40.1
142,South Alabama,SB,106.3,107.7,52.2,49.9,13.5,17.5,27.6,33.1,40.6,16.8,66.5,70.8,52.6,53.1,34.3,31.9
143,Loyola Marymount,WCC,104.2,103.2,52.2,47.3,18.8,18.8,30.0,30.7,30.0,31.1,63.7,75.2,51.3,47.1,35.6,31.7
144,Mercer,SC,106.5,110.6,52.2,51.6,15.0,18.4,31.3,37.0,36.9,28.1,73.9,69.5,51.8,51.8,35.2,34.3
145,Bowling Green,MAC,106.7,102.9,52.1,49.5,17.0,23.4,32.2,26.7,36.2,40.3,73.1,73.5,51.8,53.4,35.0,29.8
146,Western Michigan,MAC,105.3,111.8,52.1,50.8,19.6,14.1,29.0,27.9,29.5,39.0,78.0,68.4,51.8,50.2,35.2,34.4
147,McNeese St.,Slnd,110.9,100.3,52.1,47.8,14.9,25.9,37.0,42.1,40.3,39.8,77.4,69.9,54.3,43.5,31.5,34.7
148,Texas Tech,B12,116.6,100.5,52.0,49.4,15.1,18.3,37.4,30.0,33.9,30.9,66.7,69.4,51.4,50.3,35.2,31.5
149,Virginia Tech,ACC,114.8,102.2,52.0,49.3,12.4,18.6,31.2,30.7,33.3,28.7,71.0,74.4,52.6,52.2,34.0,30.0
150,Purdue Fort Wayne,Horz,105.2,112.5,52.0,60.0,16.7,21.0,24.8,38.2,24.6,29.2,72.4,81.0,55.1,59.6,32.3,40.3
,,,,,,,,,,,,,,,,,,
Rk,Team,Conf,,,,,,,,,,,,,,,,
151,Portland St.,BSky,103.1,103.8,51.9,48.8,20.8,20.1,31.8,30.5,35.2,44.6,67.2,76.7,51.6,48.9,34.8,32.5
152,Massachusetts,MAC,103.0,103.3,51.9,49.7,19.4,20.3,35.5,23.8,37.3,46.1,65.4,70.5,53.9,55.1,32.1,27.6
153,Wake Forest,ACC,113.2,100.0,51.8,48.3,16.1,21.9,35.1,31.4,35.4,38.5,74.6,71.7,53.5,52.2,32.9,29.0
154,Denver,Sum,107.1,116.7,51.8,60.4,16.5,15.4,29.2,37.8,34.8,38.5,75.3,70.3,49.8,59.3,36.6,41.5
155,TCU,B12,113.0,98.8,51.8,48.2,15.8,23.0,31.5,29.6,36.4,30.5,72.8,73.0,51.5,48.0,34.9,32.3
156,Charlotte,Amer,108.5,110.5,51.7,52.0,17.7,16.4,36.9,28.9,38.9,52.4,64.3,66.4,49.8,52.4,36.3,34.3
157,Air Force,MWC,97.8,112.5,51.7,52.6,21.4,17.4,26.9,31.7,46.3,36.3,64.1,69.7,53.6,54.8,32.5,32.5
158,Chattanooga,SC,106.3,112.2,51.6,53.5,16.6,15.1,23.1,34.1,38.8,38.8,75.0,74.4,54.1,52.8,32.8,36.4
159,Mississippi St.,SEC,113.9,103.3,51.6,47.5,17.3,13.5,30.4,30.9,34.1,27.2,68.8,76.2,54.2,47.7,31.9,31.4
160,Hofstra,CAA,103.4,104.0,51.6,47.5,18.1,18.6,31.8,31.5,34.0,37.4,74.7,73.0,51.6,44.8,34.4,34.6
161,Temple,Amer,113.5,114.3,51.6,54.3,13.4,14.4,29.0,29.5,47.8,30.8,72.0,69.6,51.1,53.1,35.0,37.3
162,Syracuse,ACC,113.7,100.0,51.6,43.2,15.8,21.7,29.2,33.7,38.0,33.8,57.3,73.2,56.9,41.9,29.0,30.7
163,UT Rio Grande Valley,Slnd,106.0,109.0,51.5,52.2,15.4,15.4,25.1,32.3,24.0,41.8,66.3,70.4,47.1,54.5,39.7,32.9
164,Florida Gulf Coast,ASun,108.6,111.1,51.5,55.0,15.4,17.8,36.8,28.4,33.5,47.1,73.9,75.2,50.4,57.4,35.6,34.7
165,Bradley,MVC,107.9,104.1,51.5,53.4,15.8,23.9,27.1,29.3,37.8,39.4,74.1,71.6,51.4,50.5,34.3,38.6
166,UC Santa Barbara,BW,113.1,111.0,51.4,54.0,16.7,18.2,33.3,29.8,45.7,45.6,79.3,73.8,49.2,52.3,36.5,37.9
167,Middle Tennessee,CUSA,108.5,105.1,51.4,50.4,16.9,14.0,30.8,30.0,25.9,39.7,67.7,76.8,51.3,54.3,34.3,28.9
168,Fresno St.,MWC,103.9,106.0,51.3,50.1,19.8,21.2,31.0,31.0,34.9,31.8,71.4,67.5,56.1,55.8,29.9,28.1
